slug	name	country	first	last	complete
hungara_informilo	Hungara Informilo	Hungario	1991	1991	no
hungara_studento	Hungara Studento	Hungario	1910	1912	no
hungaraesperantisto	Hungara Esperantisto	Hungario	1909	1973	no
hungaravivo	Hungara Vivo	Hungario	1961	1990	no
iberiaesperantistarevuo	Iberia esperantista revuo	Hispanio	1931	1931	no
iberio_esperanto	Iberio-Esperanto / La Komunista Iberio	Hispanio	1990	1990	no
icem	I.C.E.M. Esperanto	Francio	1976	2002	no
idealo	Idealo	Italio	1906	1907	no
idioma_internacional	Idioma Internacional	Urugvajo	1945	1952	no
iku_internacia_kongresa_universitato	IKU-Internacia Kongresa Universitato	Nederlando	2000	2007	no
ilerabulteno	ILERA bulteno	Hungario	1970	2008	no
impulso	Impulso	Brazilo	1979	1993	no
indonesia_perspektivo	Indonesia PerspEktivo	Nederlando			no
indoneziaesperantisto	Indonezia Esperantisto	Indonesio	1958	1961	no
informa_bulteno	Informa Bulteno	Belgio	1932	1935	no
informa_bulteno_ase	Informa Bulteno (ASE)	Rusio	1989		no
informa_bulteno_cnt_fai	Informa Bulteno (CNT/FAI)	Hispanio	1936	1938	no
informa_bulteno_organo_de_mehhlena_esperantista_grupo	Informa Bulteno. Organo de Meĥlena Esperantista Grupo	Belgio	1935	1935	no
informa_bulteno_uea	Informa Bulteno (UEA)	Svislando	1944	1946	no
informabulteno_bes	Informa bulteno de la "Barcelona Esperanta Societo" (B.E.S.)	Hispanio	1922		no
informabultenobolonja	Informa Bulteno (Bolonja)	Italio	1952	2002	no
informabultenofoirobrno	Informa Bulteno de la Foiro en Brno	Ĉeĥio	1965	1967	no
informacije_informoj_sel	Informacije Informoj (SEL)	Slovenio	1995	2007	no
informado_el_vjetnamio	Informado el Vjetnamio	Vjetnamio	1969	1975	no
informilano	Informilano	Italio	1951	2006	no
informilo	Informilo	Bulgario	1980	1981	no
informilo_de_chel	Informilo de ĈEL	Ĉinio			no
informilo_de_germana_esperanto_asocio	Informilo de Germana Esperanto-Asocio	Germanio	1979	1989	no
informilo_de_ikek	Informilo de IKEK	Britio			no
informilo_de_juna_suno	Informilo de Juna Suno	Hispanio	1990	1991	no
informilo_de_la_barcelona_esperanta_societo	Informilo de la Barcelona Esperanta Societo	Hispanio	1927	1928	no
informilo_de_ligo_de_katolikaj_esperantistoj_en_chehhoslovakujo	Informilo de Ligo de Katolikaj Esperantistoj en Ĉeĥoslovakujo	Ĉeĥio	1930	1938	no
informilo_de_okcident_kaj_orient_flandrujo	Informilo de Okcident- kaj Orient-Flandrujo	Belgio	1950	1951	no
informilo_de_zamenhof_instituto	Informilo de Zamenhof-Instituto	Hispanio	1933	1937	no
informilo_fel	Informilo (FEL)	Belgio	1977	1992	no
informilo_handikapuloj	Informilo (Handikapuloj)	Ĉeĥio	1999	2006	no
informilo_ikue	Informilo (IKUE)	Belgio			no
informilo_kara_amiko	Informilo. Kara Amiko	Pollando			no
informilo_lauzana_esperanto_societo	Informilo. Laŭzana Esperanto-Societo	Svislando	2001	2001	no
informilo_por_lingvistikoj_ipi	Informilo Por Lingvistikoj (IPI)	Nederlando			no
informilogxemelajurboj	Informilo de Ĝemelaj Urboj	Ĉinio	2002	2010	no
informilomadrida	Informilo (Madrida)	Hispanio	1953	1953	no
informleterovinilkosmo	Informletero de Vinilkosmo	Francio		2005	no
informojaustriakatolikaligoesperantista	Informoj por la anoj de la Austria Katolika Ligo Esperantista	Aŭstrio	1914	1932	no
informoleterorondoharmonia	Informo-Letero de Rondo Harmonia	Japanio	2003		no
inko	InKo	Brazilo	1972	2014	no
inter_ni	Inter Ni	Germanio	1927	1932	no
inter_ni_dirite_ind	Inter ni dirite (IND)	Norvegio	1977	2008	no
interfratigho	Interfratiĝo	Belgio	1986	1991	no
interlingvistika_informa_servo	Interlingvistika Informa Servo	Germanio	1957	1984	no
interna_informilo_de_sorokaba_esperanto_klubo	Interna informilo de Sorokaba Esperanto-Klubo	Brazilo	1981	1994	no
internacia_jura_revuo	Internacia Jura Revuo	Hungario	1966	1987	no
internacia_komerco	Internacia Komerco	Svislando	1923	1924	no
internacia_lingvo	Internacia Lingvo	Hispanio	1991		no
internacia_medicina_revuo	Internacia Medicina Revuo	Francio	1923	1928	no
internacia_medicino_1911	Internacia Medicino (1911)	Germanio	1911		no
internacia_polica_bulteno	Internacia Polica Bulteno	Francio	1911	1936	no
internacia_radio_revuo	Internacia Radio*-Revuo	Francio	1926	1927	no
internacia_socia_revuo	Internacia Socia Revuo	Svislando	1906	1920	no
internaciabulteno_milito	Internacia Bulteno	Germanio	1914	1919	no
internaciafervojisto	Internacia Fervojisto – Bulteno IFEF	Germanio	1948	2008	yes
internaciajhurnalisto	Internacia Ĵurnalisto	Bulgario	1957	2004	no
internaciakomercarevuo	Internacia Komerca Revuo	Svislando	1919	1922	no
